,municipio,latitud,longitud,nombre local,categoría,dirección,distancia (m)
389,Pozuelo del Rey,40.3664055,-3.3200082,La Fontana,Café,"Plaza Centro Comercial la, 0, 28514 Nuevo Baztán Comunidad de Madrid",4850
390,Prádena del Rincón,41.0443369,-3.5402284,Taberna el Trebol,Café,"Calle Rosario, 1, 28191 Prádena del Rincón Comunidad de Madrid",95
391,Quijorna,40.4290833,-4.0565378,Churrería Puerta del Sol,Café,"Calle Real, 29, 28691 Villanueva de la Cañada Comunidad de Madrid",4839
392,Redueña,40.8158054,-3.6039309,Restaurante Genova,Café,"Calle Puerto de Despeñaperros, s/n, 28729 Venturada Madrid",3055
393,Ribatejada,40.6664949,-3.3919178,El Bosque,Amusement Park,"Avenida de la Industria, 17, 19170 Guadalajara Castilla-La Mancha",4671
394,Rivas-Vaciamadrid,40.3536054,-3.5310879,Dulce Café,Café,"Calle Margarita Xirgu, 2 (Avenida Plaza De Las Madres De Mayo), 28523 Rivas-Vaciamadrid Madrid",2775
395,Rivas-Vaciamadrid,40.3536054,-3.5310879,Dunkin´España,Café,"Calle Marie Curie, 4, 28521 Rivas-Vaciamadrid Madrid",1906
396,Rivas-Vaciamadrid,40.3536054,-3.5310879,Pasteleria Bouquet,Café,"Calle María Zambrano, 3, 28522 Rivas-Vaciamadrid Comunidad de Madrid",274
397,Rivas-Vaciamadrid,40.3536054,-3.5310879,Del Perú y Punto,Bar,"Calle Girasol, 6, 28522 Rivas-Vaciamadrid Comunidad de Madrid",761
398,Rivas-Vaciamadrid,40.3536054,-3.5310879,Cafetería el Metro,Café,"Semiesquina Avenida Pablo Iglesias, 84, 28529 Rivas-Vaciamadrid Comunidad de Madrid",1124
399,Rivas-Vaciamadrid,40.3536054,-3.5310879,Kremma,Café,"Calle Aurelio Álvarez, 4, 28521 Rivas-Vaciamadrid Comunidad de Madrid",1527
400,Rivas-Vaciamadrid,40.3536054,-3.5310879,Cafeteria cairos,Café,"Avenida Levante, 124, 28521 Rivas-Vaciamadrid Comunidad de Madrid",3203
401,Rivas-Vaciamadrid,40.3536054,-3.5310879,Merca Rivas Dos,Café,"Avenida José Hierro, 36, 28522 Rivas-Vaciamadrid Madrid",594
402,Rivas-Vaciamadrid,40.3536054,-3.5310879,Merca-rivas dos,Café,"Plaza Clarin, 1, 28051 Madrid Madrid",2129
403,Rivas-Vaciamadrid,40.3536054,-3.5310879,Parada 331 Pilar Miro-Jovellanos,Bus Stop,"Avenida de Pilar Miró 63, 28521 Rivas-Vaciamadrid Comunidad de Madrid",1184
404,Rivas-Vaciamadrid,40.3536054,-3.5310879,Brazil,Recording Studio,"Calle de la Fundición, 4, 28522 Rivas-Vaciamadrid Comunidad de Madrid",760
405,Rivas-Vaciamadrid,40.3536054,-3.5310879,Cintabierta,Recording Studio,"Calle Lago Constanza, 90, 28521 Rivas-Vaciamadrid Comunidad de Madrid",3368
406,Rivas-Vaciamadrid,40.3536054,-3.5310879,Turtle Studio,Recording Studio,"Calle Sauces, 22, 28522 Rivas-Vaciamadrid Madrid",1120
407,Rivas-Vaciamadrid,40.3536054,-3.5310879,Cromadrid,Recording Studio,"Carretilla, 3, 28522 Rivas-Vaciamadrid Madrid",1207
408,Robledo de Chavela,40.5009201,-4.2380999,Bar Sevilla,Bar,"Plaza España, 5, 28294 Robledo de Chavela Comunidad de Madrid",35
409,Las Rozas de Madrid,40.4933095,-3.8758396,Crepes & Waffles,Café,"Calle Camilo Jose Cela, 2, 28232 Las Rozas Comunidad de Madrid",3060
410,Las Rozas de Madrid,40.4933095,-3.8758396,The Chatter Cafe,Restaurant,"Calle Pablo Neruda, s/n, 28232 Las Rozas Comunidad de Madrid",2949
411,Las Rozas de Madrid,40.4933095,-3.8758396,Nahuel Cafeteria,Café,"Calle Bruselas, 26, 28232 Las Rozas Comunidad de Madrid",1985
412,Las Rozas de Madrid,40.4933095,-3.8758396,La Esquinita de Rozas,Brewery,"Calle Navarra Nr, 6, Las Rozas Comunidad de Madrid",11
413,Las Rozas de Madrid,40.4933095,-3.8758396,Meeting Point las Rozas,Bar,"Plaza España, 4, 28230 Las Rozas Comunidad de Madrid",29
414,Las Rozas de Madrid,40.4933095,-3.8758396,Castilla,Café,"Real, 20, 28231 Las Rozas Comunidad de Madrid",324
415,Las Rozas de Madrid,40.4933095,-3.8758396,Estación de las Rozas,Café,"Salida, 18 (Estación de Renfe Las Rozas), 28231 Las Rozas Comunidad de Madrid",545
416,Las Rozas de Madrid,40.4933095,-3.8758396,Mile,Burger Joint,"Calle Principado de Asturias, 6, 28231 Las Rozas Comunidad de Madrid",585
417,Las Rozas de Madrid,40.4933095,-3.8758396,Tambo,Bar,"Avenida de la Coruña, 42, 28231 Las Rozas Comunidad de Madrid",652
418,Las Rozas de Madrid,40.4933095,-3.8758396,Ileride,Café,"Calle Cólquide, 6, 28230 Las Rozas Comunidad de Madrid",718
419,Las Rozas de Madrid,40.4933095,-3.8758396,Cezanne Producciones,Recording Studio,"Nave, 11, 28232 Las Rozas Comunidad de Madrid",1702
420,Las Rozas de Madrid,40.4933095,-3.8758396,Sonora Majadahonda,Recording Studio,"Avenida Claveles, 74, 28221 Majadahonda Comunidad de Madrid",2517
421,Las Rozas de Madrid,40.4933095,-3.8758396,Polka Projet,Recording Studio,"Pinos, 55, 28221 Majadahonda Madrid",2750
422,Rozas de Puerto Real,40.3098351,-4.4912111,Burger Nete,Bar,"Calle Doctor Menéndez, 2, 28640 Cadalso de Los Vidrios Comunidad de Madrid",4597
423,San Agustín del Guadalix,40.679051,-3.6166004,Cafe 23,Bar,"Avenida de Madrid, 23 (Plaza Luis Carreño), 28750 San Agustín del Guadalix Comunidad de Madrid",164
424,San Fernando de Henares,40.4248548,-3.5350369,El Gran Café,Café,"Calle del Doctor Michavila, 27, 28821 Coslada Comunidad de Madrid",2173
425,San Fernando de Henares,40.4248548,-3.5350369,Chocolateria cafeteria el tazon,Café,"Calle Vicente Gaos, 3, Coslada Comunidad de Madrid",330
426,San Fernando de Henares,40.4248548,-3.5350369,Lorca,Café,"Avenida Irún, s/n, 28830 San Fernando de Henares Comunidad de Madrid",505
427,San Fernando de Henares,40.4248548,-3.5350369,Restaurante Tierra de Barros,Café,"Calle Tierra de Barros, 2, 28820 Coslada Comunidad de Madrid",1064
428,San Fernando de Henares,40.4248548,-3.5350369,Buenos Días Princesa,Bakery,"Plaza del Mar Caribe, 4, 28821 Coslada Comunidad de Madrid",2819
429,San Fernando de Henares,40.4248548,-3.5350369,Matadero,Café,"Calle del Rosario, 0, 28821 Coslada Comunidad de Madrid",2233
430,San Fernando de Henares,40.4248548,-3.5350369,Pastelería Agmina,Café,"Calle del Dr. Castroviejo, 5, 28821 Coslada Comunidad de Madrid",2253
431,San Fernando de Henares,40.4248548,-3.5350369,O'Clock,Cocktail Bar,"Calle Doctor Michavila, 10, 28821 Coslada Comunidad de Madrid",2365
432,San Fernando de Henares,40.4248548,-3.5350369,Yaque Enotaberna,Wine Bar,"Paseo de las Acacias, 15, 28821 Coslada Comunidad de Madrid",2385
433,San Fernando de Henares,40.4248548,-3.5350369,Cacao del Sol,Bar,"Calle Océano Atlántico, 2, 28821 Coslada Comunidad de Madrid",2952
434,San Fernando de Henares,40.4248548,-3.5350369,Elegant Bus,Bus Stop,"Avenida Aragón, 345, 28042 Madrid Comunidad de Madrid",2904
435,San Fernando de Henares,40.4248548,-3.5350369,La Casa del Ruido,Recording Studio,"Teatinos, 9, 28823 Coslada Comunidad de Madrid",1767
436,San Fernando de Henares,40.4248548,-3.5350369,Tecnicas de Sonorizacion,Recording Studio,"Avenida Ingeniero Conde de Torroja, 22, 28022 Madrid Comunidad de Madrid",3228
437,San Fernando de Henares,40.4248548,-3.5350369,The Soundtrack Team Estudio,Recording Studio,"Avenida Castilla, 42, 28830 San Fernando de Henares Comunidad de Madrid",4394
438,San Lorenzo de El Escorial,40.5926673,-4.1471642,Croché Cafetín,Cocktail Bar,"Calle San Lorenzo, 6, 28200 El Escorial Comunidad de Madrid",172
439,San Lorenzo de El Escorial,40.5926673,-4.1471642,Pan y Canela,Café,"Plaza de la Cruz, 1, 28200 El Escorial Comunidad de Madrid",157
440,San Lorenzo de El Escorial,40.5926673,-4.1471642,Alaska,Café,"Plaza San Lorenzo, 4 (C. Rey), 28200 El Escorial Comunidad de Madrid",149
441,San Lorenzo de El Escorial,40.5926673,-4.1471642,Terraza los Jardincillos,Café,"Plaza San Lorenzo, 18, 28200 El Escorial Comunidad de Madrid",185
442,San Lorenzo de El Escorial,40.5926673,-4.1471642,caffetteria ristorante del Arte,Sandwich Spot,"Calle Floridablanca 12-14, 28200 El Escorial Comunidad de Madrid",227
443,San Lorenzo de El Escorial,40.5926673,-4.1471642,Rodilla,Café,"Calle Juan de Toledo, 5, 28200 San Lorenzo de El Escorial Madrid",292
444,San Martín de Valdeiglesias,40.3625,-4.3986503,Bar la Estacion,Bar,"Avenida Madrid, 24, 28680 San Martín de Valdeiglesias Comunidad de Madrid",262
445,San Martín de Valdeiglesias,40.3625,-4.3986503,Metro coffee - bar,Bar,"Calle Mecanicos, 9, 28680 San Martín de Valdeiglesias Comunidad de Madrid",1036
446,San Sebastián de los Reyes,40.5473698,-3.6260586,La Flor,Bar,"Calle Ruperto Chapi, 57, 28100 Alcobendas Comunidad de Madrid",1151
447,San Sebastián de los Reyes,40.5473698,-3.6260586,Justo a Tu Gusto,Buffet,"Avenida de la Ermita, 2, 28108 Alcobendas Comunidad de Madrid",1579
448,San Sebastián de los Reyes,40.5473698,-3.6260586,Cervecería Alonso,Beer Bar,"Avenida Madrid, 50 (C. Guipúzcoa), 28701 San Sebastián de los Reyes Comunidad de Madrid",1348
449,San Sebastián de los Reyes,40.5473698,-3.6260586,Restaurante Alcalá,Café,"Avenida España, 78, 28700 San Sebastián de los Reyes Comunidad de Madrid",867
450,San Sebastián de los Reyes,40.5473698,-3.6260586,La Casita de Chocolate,Café,"Calle de Miraflores, 1, 28100 Alcobendas Comunidad de Madrid",1091
451,San Sebastián de los Reyes,40.5473698,-3.6260586,La Cañita,Night Club,"Calle Maestro Priego Lopez, 19, 28100 Alcobendas Comunidad de Madrid",2487
452,San Sebastián de los Reyes,40.5473698,-3.6260586,El Café de la Plaza,Café,"Plaza de la Constitución, 6, 28701 San Sebastián de los Reyes Comunidad de Madrid",24
453,San Sebastián de los Reyes,40.5473698,-3.6260586,Cafetería Road,Café,"Calle Ramón Esteban, 1, 28701 San Sebastián de los Reyes Comunidad de Madrid",371
454,San Sebastián de los Reyes,40.5473698,-3.6260586,Marabe,Café,"Calle Sacramento, 2, 28700 San Sebastián de los Reyes Comunidad de Madrid",376
455,San Sebastián de los Reyes,40.5473698,-3.6260586,Vait,Café,"Avenida de Europa, 13, 28108 Alcobendas Comunidad de Madrid",4033
456,San Sebastián de los Reyes,40.5473698,-3.6260586,Linea 4,Bus Stop,"Hermanos Carrasco Garrorena, 4, 06010  Badajoz",415
457,San Sebastián de los Reyes,40.5473698,-3.6260586,Conservera Bromar,Natural Park,"Avenida Antonio Machado, 81, 28700 San Sebastián de los Reyes Madrid",1251
458,San Sebastián de los Reyes,40.5473698,-3.6260586,Dopplermedia,Recording Studio,"Calle Valencia, 127, 28100 Alcobendas Comunidad de Madrid",1125
459,San Sebastián de los Reyes,40.5473698,-3.6260586,Tempo Studio Records,Recording Studio,"Carretera de Fuencarral, 44, 28108 Alcobendas Comunidad de Madrid",2499
460,San Sebastián de los Reyes,40.5473698,-3.6260586,Aaa.Sonido,Recording Studio,"Paseo de Guadalajara, 98, 28701 San Sebastián de los Reyes Madrid",1651
461,San Sebastián de los Reyes,40.5473698,-3.6260586,Tecnison,Recording Studio,"Avenida Industria, 45, 28108 Alcobendas Madrid",2760
462,San Sebastián de los Reyes,40.5473698,-3.6260586,Dopplermedia,Recording Studio,"Sonrisa Fuente Lucha, 4, 28100 Alcobendas Madrid",2807
463,Santa María de la Alameda,40.5958248,-4.2579208,Hermanos Díez,Café,"Calle Guzmán el Bueno, 6, Madrid Comunidad de Madrid",3144
464,La Serna del Monte,41.0305793,-3.6252636,El Espolón,Bar,"Calle Real, 60, 28730 Buitrago del Lozoya Comunidad de Madrid",4328
465,Serranillos del Valle,40.2044509,-3.8851988,Ele,Café,"Calle Grama, 6, 28971 Griñón Comunidad de Madrid",3122
466,Serranillos del Valle,40.2044509,-3.8851988,La Gloria,Café,"Calle Espejuelo, 2, 45216 Carranque Castilla-La Mancha",4040
467,Sevilla la Nueva,40.3475422,-4.0275268,El Museo,Bar,"Plaza de España, 14, 28609 Sevilla la Nueva Comunidad de Madrid",56
468,Talamanca de Jarama,40.7454625,-3.5127366,Bar Heladeria Sole,Bar,"Urbanización Rosario, s/n, 28160 Talamanca de Jarama Comunidad de Madrid",331
469,Tielmes,40.2465011,-3.3136206,El Talisman,Café,"Calle Vega, 19, 28550 Tielmes Comunidad de Madrid",197
470,Tielmes,40.2465011,-3.3136206,Las Vegas,Café,"Autov. Levante, Km 37,87, 28540 Perales de Tajuña Comunidad de Madrid",3190
471,Titulcia,40.1379148,-3.5709978,Swing Café,Bar,"Calle Capitán Antonio de Oro Pulido, 31, 28350 Ciempozuelos Comunidad de Madrid",4558
472,Torrejón de Ardoz,40.4587767,-3.4793343,Mayri,Café,"Calle Lisboa, 33, 28850 Torrejón de Ardoz Comunidad de Madrid",897
473,Torrejón de Ardoz,40.4587767,-3.4793343,Gran Café Praga,Café,"Calle de las Marquesas, 2, 28850 Torrejón de Ardoz Comunidad de Madrid",83
474,Torrejón de Ardoz,40.4587767,-3.4793343,New York,Bar,"Calle Hospital, 5, 28850 Torrejón de Ardoz Comunidad de Madrid",123
475,Torrejón de Ardoz,40.4587767,-3.4793343,Xapata,Bar,"Calle Ramón y Cajal, 7, Torrejón de Ardoz Comunidad de Madrid",134
476,Torrejón de Ardoz,40.4587767,-3.4793343,Cafés la Mexicana,Café,"Calle Enmedio, 10, 28850 Torrejón de Ardoz Comunidad de Madrid",141
477,Torrejón de Ardoz,40.4587767,-3.4793343,Cafeteria Montecarlo,Bar,"Avenida Constitución, 26, 28850 Torrejón de Ardoz Madrid",370
478,Torrejón de Ardoz,40.4587767,-3.4793343,Café de Baralia,Café,"Calle Londres, 1, 28850 Torrejón de Ardoz Comunidad de Madrid",384
479,Torrejón de Ardoz,40.4587767,-3.4793343,Asador Castilla,Café,"Avenida Fronteras, 14, 28850 Torrejón de Ardoz Comunidad de Madrid",415
480,Torrejón de Ardoz,40.4587767,-3.4793343,Tarahumara Lounge Café,Bar,"Las Viñas, 1, 28850 Torrejón de Ardoz Comunidad de Madrid",547
481,Torrejón de Ardoz,40.4587767,-3.4793343,El Centro,Café,"Avenida de la Constitución, 88-100, 28850 Torrejón de Ardoz Comunidad de Madrid",565
482,Torrejón de Ardoz,40.4587767,-3.4793343,The Soundtrack Team Estudio,Recording Studio,"Avenida Castilla, 42, 28830 San Fernando de Henares Comunidad de Madrid",1708
483,Torrejón de la Calzada,40.2006804,-3.7993298,Zona Ocio ORANGE,Café,"Griñón, 6, 28991 Torrejón de la Calzada Comunidad de Madrid",184
484,Torrejón de la Calzada,40.2006804,-3.7993298,Biergarten,Beer Bar,"Avenida de Juan Carlos I, 10, 28981 Parla Comunidad de Madrid",3851
485,Torrejón de la Calzada,40.2006804,-3.7993298,Restaurante-Cafetería Alameda,Bar,"Avenida Juan Carlos I, 3, Parla Comunidad de Madrid",4365
486,Torrejón de la Calzada,40.2006804,-3.7993298,Ele,Café,"Calle Grama, 6, 28971 Griñón Comunidad de Madrid",4445
487,Torrejón de la Calzada,40.2006804,-3.7993298,Café Bar la Bruja Motera,Café,"Calle Moratalaz, 16, 28977 Casarrubuelos Comunidad de Madrid",4458
488,Torrejón de la Calzada,40.2006804,-3.7993298,Bar la Perdiz,Café,"Calle San Anton, 34, 28982 Parla Comunidad de Madrid",4672
489,Torrejón de la Calzada,40.2006804,-3.7993298,Idemm Estudios,Recording Studio,"Calle Hoyos, 10, 28981 Parla Comunidad de Madrid",4914
490,Torrejón de Velasco,40.1869283,-3.7769069,Zona Ocio ORANGE,Café,"Griñón, 6, 28991 Torrejón de la Calzada Comunidad de Madrid",2611
491,Torrejón de Velasco,40.1869283,-3.7769069,Biergarten,Beer Bar,"Avenida de Juan Carlos I, 10, 28981 Parla Comunidad de Madrid",4399
492,Torrelodones,40.5762809,-3.928603,Cafe Babel,Movie Theater,"Calle Real, 39, 28250 Torrelodones Comunidad de Madrid",255
493,Torrelodones,40.5762809,-3.928603,Churrería Pastorcito Chocolateria,Café,"Carnicería, 2, 28250 Torrelodones Comunidad de Madrid",50
494,Torrelodones,40.5762809,-3.928603,Más Que Café,Café,"Calle José Sánchez Rubio, 16, 28250 Torrelodones Comunidad de Madrid",122
495,Torrelodones,40.5762809,-3.928603,Animari,Café,"Avenida de la Fontanilla, 1, 28250 Torrelodones Comunidad de Madrid",1091
496,Torrelodones,40.5762809,-3.928603,Cake Factory Café,Café,"Avenida de la Fontanilla, 1, 28250 Torrelodones Comunidad de Madrid",1108
497,Torrelodones,40.5762809,-3.928603,El quiosco del Bulevar,Café,"Calle Rosario Manzaneque Nº 1 (Rosario Manzaneque 1), 28250 Torrelodones Comunidad de Madrid",2381
498,Torrelodones,40.5762809,-3.928603,Marylebone,Café,"Calle Piamonte, 15, 28420 Galapagar Comunidad de Madrid",3355
499,Torrelodones,40.5762809,-3.928603,Snacks,Café,"Cmno. Real, 1, Las Rozas Comunidad de Madrid",4753
500,Torrelodones,40.5762809,-3.928603,Elefant Records,Recording Studio,"Calle del Doctor Palacios Carvajal, 1, 28250 Torrelodones Comunidad de Madrid",443
501,Torrelodones,40.5762809,-3.928603,Piccolo,Recording Studio,"Calle Ángel Yagüe, 1, 28250 Torrelodones Madrid",2335
502,Tres Cantos,40.6065826,-3.7065333,Sarah's Coffee House,Café,"Sector Foresta, 39, 28760 Tres Cantos Comunidad de Madrid",660
503,Tres Cantos,40.6065826,-3.7065333,VIPS CC Tres Cantos,Burger Joint,"Avenida de los Labradores 9-11, 28760 Tres Cantos Comunidad de Madrid",817
504,Tres Cantos,40.6065826,-3.7065333,Cafetería Pastelería Lusitania. Sabores de Portugal,Café,"Sector Oficios, 16, 28760 Tres Cantos Comunidad de Madrid",739
505,Tres Cantos,40.6065826,-3.7065333,Lancara,Café,"Descobridores, 1, 28760 Tres Cantos Comunidad de Madrid",765
506,Tres Cantos,40.6065826,-3.7065333,Cafeteria Lancara,Bar,"Sector de los Descubridores, 4, 28760 Tres Cantos Comunidad de Madrid",785
507,Tres Cantos,40.6065826,-3.7065333,El Kiosco,Café,"Avenida Labradores, 9 (C.C. Ciudad Tres Cantos), 28760 Tres Cantos Comunidad de Madrid",812
508,Tres Cantos,40.6065826,-3.7065333,Cafe Bar Trotaconventos,Bar,"Descubridores, 5, 28760 Tres Cantos Comunidad de Madrid",823
509,Tres Cantos,40.6065826,-3.7065333,Cafeteria maná,Café,"Calle de Neptuno, 8 (Avenida de los artesanos), 28760 Tres Cantos Comunidad de Madrid",1085
510,Tres Cantos,40.6065826,-3.7065333,Restaurante Cafetería Estación 3 Cantos,Café,"Avenida de los Labradores, 1, 28760 Tres Cantos Comunidad de Madrid",1149
511,Tres Cantos,40.6065826,-3.7065333,Cafe 37,Bar,"Avenida de Viñuelas, 37, 28760 Tres Cantos Comunidad de Madrid",1173
512,Valdemorillo,40.5016772,-4.0688878,La Espiga,Wine Bar,"Plaza de la Constitución, 13, 28210 Valdemorillo Comunidad de Madrid",56
513,Valdemoro,40.1888604,-3.67143,La Llave,Café,"Calle Osa Menor, 12, 28341 Valdemoro Comunidad de Madrid",165
514,Valdemoro,40.1888604,-3.67143,OM Restaurante Hindú,Café,"Paseo de la Estacion, 10, 28343 Valdemoro Comunidad de Madrid",362
515,Valdemoro,40.1888604,-3.67143,Estrella de Elola cafeteria,Café,"Calle Estrella de Elola, 17, 28340 Valdemoro Comunidad de Madrid",693
516,Valdemoro,40.1888604,-3.67143,La Terraza del Duque,Café,"Calle Libertad, 1, 28341 Valdemoro Madrid",808
517,Valdemoro,40.1888604,-3.67143,Raulrestobar,Café,"Glorieta del Universo, 12, 28340 Valdemoro Comunidad de Madrid",1003
518,Valdemoro,40.1888604,-3.67143,La Tortitas Cafeteria - Heladeria,Bar,"Avenida Mar Mediterráneo, s/n, 28341 Valdemoro Madrid",2292
519,Valdemoro,40.1888604,-3.67143,Querol Alimentaria,Natural Park,"Carretera Huelva, 4, 28342 Valdemoro Madrid",2450
520,Valdemoro,40.1888604,-3.67143,Opportunity-Records,Recording Studio,"Calle de Juno, 64, 28341 Valdemoro Comunidad de Madrid",1159
521,Valdeolmos-Alalpardo,40.6385429,-3.4532436,Ronabus,Bus Stop,"Carretera Algete - Casar de Talamanca, Nave, 6, 28130 Valdeolmos-Alalpardo Comunidad de Madrid",15
522,Valdepiélagos,40.7610144,-3.4656251,Bar Heladeria Sole,Bar,"Urbanización Rosario, s/n, 28160 Talamanca de Jarama Comunidad de Madrid",3995
523,Valdetorres de Jarama,40.6956481,-3.5146559,Pastelería Panadería el Arroyo,Bakery,"Calle Paseo Santísimo Cristo de los Ultrajes, 2, 28150 Valdetorres de Jarama Comunidad de Madrid",23
524,Velilla de San Antonio,40.367166,-3.4874435,Dulce Café,Café,"Calle Margarita Xirgu, 2 (Avenida Plaza De Las Madres De Mayo), 28523 Rivas-Vaciamadrid Madrid",4565
525,Velilla de San Antonio,40.367166,-3.4874435,Dunkin´España,Café,"Calle Marie Curie, 4, 28521 Rivas-Vaciamadrid Madrid",4727
526,Velilla de San Antonio,40.367166,-3.4874435,Casa de la Cultura,Theater,"Plaza Ilustración, 9, 28840 Mejorada del Campo Comunidad de Madrid",3291
527,Velilla de San Antonio,40.367166,-3.4874435,La Sabana CAFÉ,Bar,"Avenida de la Constitución, s/n, 28840 Mejorada del Campo Comunidad de Madrid",3296
528,Velilla de San Antonio,40.367166,-3.4874435,Cafetería el Metro,Café,"Semiesquina Avenida Pablo Iglesias, 84, 28529 Rivas-Vaciamadrid Comunidad de Madrid",3717
529,Velilla de San Antonio,40.367166,-3.4874435,Kremma,Café,"Calle Aurelio Álvarez, 4, 28521 Rivas-Vaciamadrid Comunidad de Madrid",4121
530,Velilla de San Antonio,40.367166,-3.4874435,Pasteleria Bouquet,Café,"Calle María Zambrano, 3, 28522 Rivas-Vaciamadrid Comunidad de Madrid",4259
531,Velilla de San Antonio,40.367166,-3.4874435,Boulevard 3,Café,"Radial, 3, Madrid Comunidad de Madrid",4506
532,Velilla de San Antonio,40.367166,-3.4874435,Del Perú y Punto,Bar,"Calle Girasol, 6, 28522 Rivas-Vaciamadrid Comunidad de Madrid",4699
533,Velilla de San Antonio,40.367166,-3.4874435,Cafeteria cairos,Café,"Avenida Levante, 124, 28521 Rivas-Vaciamadrid Comunidad de Madrid",4807
534,Velilla de San Antonio,40.367166,-3.4874435,Parada 331 Pilar Miro-Jovellanos,Bus Stop,"Avenida de Pilar Miró 63, 28521 Rivas-Vaciamadrid Comunidad de Madrid",2806
535,Velilla de San Antonio,40.367166,-3.4874435,Brazil,Recording Studio,"Calle de la Fundición, 4, 28522 Rivas-Vaciamadrid Comunidad de Madrid",4750
536,Velilla de San Antonio,40.367166,-3.4874435,Cintabierta,Recording Studio,"Calle Lago Constanza, 90, 28521 Rivas-Vaciamadrid Comunidad de Madrid",4801
537,Velilla de San Antonio,40.367166,-3.4874435,Heat Room,Recording Studio,"Aragon, 35, 28840 Mejorada del Campo Madrid",2153
538,Velilla de San Antonio,40.367166,-3.4874435,Turtle Studio,Recording Studio,"Calle Sauces, 22, 28522 Rivas-Vaciamadrid Madrid",4550
539,El Vellón,40.7677965,-3.5820099,Restaurante Genova,Café,"Calle Puerto de Despeñaperros, s/n, 28729 Venturada Madrid",3117
540,El Vellón,40.7677965,-3.5820099,Www.audiosuite.es,Recording Studio,"Príncipe, 14, 28710 El Molar Madrid",3310
541,Venturada,40.7985257,-3.6207369,Restaurante Genova,Café,"Calle Puerto de Despeñaperros, s/n, 28729 Venturada Madrid",1603
542,Villamanta,40.2990939,-4.1090399,Cafeteria Sanzur,Café,"Avenida Generalisimo, 24 (Segovia), Villamanta Comunidad de Madrid",214
543,Villanueva de la Cañada,40.4472106,-4.002795,La Fuente,Café,"Calle del Olivar, 1-11, 28691 Villanueva de la Cañada Comunidad de Madrid",152
544,Villanueva de la Cañada,40.4472106,-4.002795,Churrería Puerta del Sol,Café,"Calle Real, 29, 28691 Villanueva de la Cañada Comunidad de Madrid",244
545,Villanueva de la Cañada,40.4472106,-4.002795,Producciones Concentricas,Recording Studio,"Calle del Campo, 14, 28690 Brunete Madrid",4836
546,Villanueva del Pardillo,40.4949232,-3.9600065,D'Tapas,Bar,"Avenida Juan Carlos I Nº3 (calle del campo), 28229 Villanueva del Pardillo Comunidad de Madrid",194
547,Villanueva del Pardillo,40.4949232,-3.9600065,La Historia,Bar,"Calle Míster Lodge, 21 (Calle Mister Lodge), 28229 Villanueva del Pardillo Comunidad de Madrid",396
548,Villanueva del Pardillo,40.4949232,-3.9600065,Snacks,Café,"Cmno. Real, 1, Las Rozas Comunidad de Madrid",4680
549,Villanueva del Pardillo,40.4949232,-3.9600065,Edificaciones Musicales,Recording Studio,"P.º San Francisco de Sales, s/n, 28003 Madrid Madrid",840
550,Villar del Olmo,40.3364465,-3.2355624,La Fontana,Café,"Plaza Centro Comercial la, 0, 28514 Nuevo Baztán Comunidad de Madrid",3215
551,Villaviciosa de Odón,40.3573787,-3.9002334,Pastelería Manacor,Café,"Calle Plasencia, 67, 28935 Móstoles Comunidad de Madrid",1735
552,Villaviciosa de Odón,40.3573787,-3.9002334,Cafetería Placebo's,Café,"Calle Carretas, 46, 28670 Villaviciosa de Odón Comunidad de Madrid",53
553,Villaviciosa de Odón,40.3573787,-3.9002334,Margaritas Cafe,Café,"Plaza Margaritas, 9, 28670 Villaviciosa de Odón Comunidad de Madrid",298
554,Villaviciosa de Odón,40.3573787,-3.9002334,Mokalia Móstoles,Café,"Avenida Alcalde de Móstoles, 27, 28933 Móstoles Comunidad de Madrid",3708
555,Villaviciosa de Odón,40.3573787,-3.9002334,Le Petit Café,Café,"Avenida Principe de Asturias, 199 (Camino Bispo), 28670 Villaviciosa de Odón Comunidad de Madrid",845
556,Villaviciosa de Odón,40.3573787,-3.9002334,Unity Deli by Sodexo (Corner a),Café,"Calle Tajo, s/n, 28670 Madrid Comunidad de Madrid",2342
557,Villaviciosa de Odón,40.3573787,-3.9002334,Sports Café,Café,"Calle Tajo, s/n, 28670 Madrid Comunidad de Madrid",2350
558,Villaviciosa de Odón,40.3573787,-3.9002334,Churrería Aviles,Bar,"Avenida Olímpica, 7, 28935 Móstoles Comunidad de Madrid",3650
559,Villaviciosa de Odón,40.3573787,-3.9002334,Cafes 1808,Café,"Calle Fragua, 6, 28933 Móstoles Comunidad de Madrid",3664
560,Villaviciosa de Odón,40.3573787,-3.9002334,Pound Café,Café,"Calle Salvador Dalí 2 (Calle Alonso Cano), 28933 Móstoles Comunidad de Madrid",3705
561,Villaviciosa de Odón,40.3573787,-3.9002334,Autocares Garmabus,Bus Stop,"Avenida del Alcalde de Móstoles, 9, 28932 Móstoles Comunidad de Madrid",4316
562,Villaviciosa de Odón,40.3573787,-3.9002334,Estudios Xlr,Recording Studio,"San Francisco, 21, 28670 Villaviciosa de Odón Madrid",414
563,Villaviciosa de Odón,40.3573787,-3.9002334,Lounge Music,Recording Studio,"Calle Joaquin Sorolla, 5, 28670 Villaviciosa de Odón Madrid",1064
564,Villaviciosa de Odón,40.3573787,-3.9002334,Monaguillo Records,Recording Studio,"Pintor Rosales, 6, 28932 Móstoles Madrid",4092
